Player,Runs,is_century,is_duck,missed_century,ScoreRate,No. of Matches
Sachin R Tendulkar,18111.0,48,20,17,74.61212669683265,442
Ricky T Ponting,13686.0,30,20,5,69.83119444444444,360
Sanath T Jayasuriya,13430.0,28,34,6,77.5775057736721,433
Inzamam-ul-Haq,11739.0,10,20,2,67.45311428571429,351
Jacques H Kallis,11372.0,17,17,8,63.60085808580856,303
Sourav C Ganguly,11363.0,22,16,3,64.90043333333332,300
Rahul Dravid,10889.0,12,13,3,66.91160377358489,318
Brian C Lara,10405.0,19,16,3,70.71830449826992,289
D P Mahela Jayawardene,9913.0,15,26,3,65.05869696969702,330
Mohammad Yousuf,9720.0,15,15,4,67.17329670329666,273
